Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2016-09-01 09:08:00,Other,,5.84,15:11,2:36,23.04,268.0,37.39,,"512",2016-09-01-0908.gpx
2016-08-31 08:14:11,Other,,5.85,13:25,2:18,26.12,240.0,33.76,,"508",2016-08-31-0814.gpx
2016-08-30 08:37:10,Other,,5.86,14:19,2:27,24.52,257.0,38.36,,"503",2016-08-30-0837.gpx
2016-08-29 08:28:00,Other,,5.84,13:49,2:22,25.33,241.0,36.21,,"510",2016-08-29-0828.gpx
2016-08-26 17:02:51,Other,,5.90,13:14,2:15,26.70,230.0,35.60,,"510",2016-08-26-1702.gpx
2016-08-26 08:22:33,Other,,5.86,14:06,2:24,24.93,240.0,12.27,,"509",2016-08-26-0822.gpx
2016-08-25 17:23:16,Other,,5.86,15:42,2:41,22.39,261.0,37.38,,"517",2016-08-25-1723.gpx
2016-08-25 07:42:13,Other,,5.85,13:22,2:17,26.22,236.0,12.27,,"506",2016-08-25-0742.gpx
2016-08-24 17:33:31,Other,,5.86,14:12,2:25,24.74,231.0,33.81,,"513",2016-08-24-1733.gpx
2016-08-24 08:07:29,Other,,5.83,13:14,2:16,26.41,233.0,12.27,,"508",2016-08-24-0807.gpx
2016-08-23 18:23:23,Other,,5.85,14:40,2:31,23.91,254.0,11.00,,"514",2016-08-23-1823.gpx
2016-08-23 08:42:23,Other,,5.85,15:19,2:37,22.89,253.0,36.58,,"503",2016-08-23-0842.gpx
2016-08-18 13:51:28,Hiking,,9.01,4:32:15,30:13,1.99,1174.0,1044.00,,"Grinell Glacier",2016-08-18-1351.gpx
2016-08-17 14:47:28,Hiking,,3.42,2:16:51,40:00,1.50,417.0,197.00,,"Guided boat hike",2016-08-17-1447.gpx
2016-08-16 16:08:35,Hiking,,1.71,59:59,35:10,1.71,201.0,78.61,,"Lake McDonald Trail",2016-08-16-1608.gpx
2016-08-15 12:00:55,Hiking,,10.01,7:05:08,42:27,1.41,1315.0,700.87,,"Siyeh Pass trail",2016-08-15-1200.gpx
